"source","destination","source_chain","destination_chain","source_address","destination_address","transaction_time_utc","source_lock_time_utc","destination_mint_time_utc","transaction_duration_seconds","transaction_duration_hh_mm_ss","transaction_amount","token_symbol","transaction_amount_usd","refunded_or_not","status","simplified_status","is_insufficient_fee","gas_paid","source_tx_hash","message_id","bridge_protocol","data_source"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T14:02:00Z","2026-08-31T14:02:00Z","2026-08-31T14:02:25Z","25","00:00:25","5028.565184","AXL","233.74309716178303","Pending Refund","executed","received","False","True","54B4BE44C16436247C3EDB29A2B1BC273012AAC9CAC0D692D61C580C5809563A","0x4987142752bbe47a87ed36c3467bcd0d09129cd493ab145252c6652e4e798856-7095951","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T14:00:00Z","2026-08-31T14:00:00Z","2026-08-31T14:00:25Z","25","00:00:25","5023.035549","AXL","233.48606280629994","Pending Refund","executed","received","False","True","366AE7C2949E7FCC97D69F539FA77C8C535960C19C87ED19C5DAC04EE124A722","0xd47a26764af77b427d86e561898bf110ffa166423c78141e33f0c58e969b8588-7095950","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T13:58:10Z","2026-08-31T13:58:10Z","2026-08-31T13:58:35Z","25","00:00:25","5050.364267","AXL","231.41612482226589","Pending Refund","executed","received","False","True","FF910EEB43E5B6A010D9D3144238E41EB921D0F3F848BF5E4AAFD971B8884A32","0xc25484cc747324f57461650baff91bbb99dfc419b55643d681961c4265cf840a-7095949","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"base : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","base","binance","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T13:52:21Z","2026-08-31T13:52:21Z","2026-08-31T14:17:05Z","1484","00:24:44","769.096905","axlUSDC","768.95231478186","Not Refunded","executed","received","False","True","0xe4808d6a98a29b1982ac8ecb5a2d6b98bd539d896a17debbe09ed92d99022744","0xe4808d6a98a29b1982ac8ecb5a2d6b98bd539d896a17debbe09ed92d99022744-17","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"osmosis : osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","binance : 0x43d090025aAA6C8693B71952B910AC55CcB56bBb","osmosis","binance","osmo173adwu8q6xfww53rhwtlxhjyafav74k6qsu9a7","0x43d090025aAA6C8693B71952B910AC55CcB56bBb","2026-08-31T13:51:50Z","2026-08-31T13:51:50Z","2026-08-31T13:52:15Z","25","00:00:25","5017.368716","AXL","228.62378107655252","Pending Refund","executed","received","False","True","1347A565300B7080C11472D3DE96AD55CC2538AFD4ACC72844FAF49793D66870","0xf060f58e200cd5c9df0c7cd34739bf0eed6ab622f49ef80cd908b82ef1b8f222-7095948","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"filecoin : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","binance : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","filecoin","binance","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","2026-08-31T13:51:30Z","2026-08-31T13:51:30Z","2026-08-31T14:09:00Z","1050","00:17:30","668.933456","axlUSDC","668.807696510272","Not Refunded","executed","received","False","True","0x77a7504fec898d9e0a25dbae75408ed0f334fd13eac36e7277f62c9d0b3c03a2","0x77a7504fec898d9e0a25dbae75408ed0f334fd13eac36e7277f62c9d0b3c03a2-13","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T13:51:07Z","2026-08-31T13:51:07Z","2026-08-31T13:52:59Z","112","00:01:52","50121.358098432844","ATH","0","Pending Refund","executed","received","False","False","D6DCF28AB7999C7AD8DAAFC54F4A163FD97E1391D1A93CDD4D56A874DA411DC3","0xd6dcf28ab7999c7ad8daafc54f4a163fd97e1391d1a93cdd4d56a874da411dc3-7095947","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"axelar : axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","ethereum : 0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","axelar","ethereum","axelar1aqcj54lzz0rk22gvqgcn8fr5tx4rzwdv5wv5j9dmnacgefvd7wzsy2j2mr","0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C","2026-08-31T13:51:06Z","2026-08-31T13:51:06Z","2026-08-31T13:52:35Z","89","00:01:29","201769.14593120455","ATH","0","Pending Refund","executed","received","False","False","6923F9BE6CE382ABF20534EEC66B90124E034F0722B632AD1E625414B122E8A8","0x6923f9be6ce382abf20534eec66b90124e034f0722b632ad1e625414b122e8a8-7095944","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","ethereum","osmosis","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","2026-08-31T13:50:23Z","2026-08-31T13:50:23Z","2026-08-31T14:09:05Z","1122","00:18:42","46.318045","AXL","2.1105498079511498","Not Refunded","executed","received","False","True","0x56d276616a641fc76add383fd7f9969b1c09e3fd380764c7862c38d2f71a5e35","0x56d276616a641fc76add383fd7f9969b1c09e3fd380764c7862c38d2f71a5e35-4","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
"ethereum : 0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmosis : osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","ethereum","osmosis","0xce16F69375520ab01377ce7B88f5BA8C48F8D666","osmo1n6ney9tsf55etz9nrmzyd8wa7e64qd3s06a74fqs30ka8pps6cvqtsycr6","2026-08-31T13:48:59Z","2026-08-31T13:48:59Z","2026-08-31T14:03:08Z","849","00:14:09","146.07534","USDC","146.04787783608","Not Refunded","executed","received","False","True","0x21c86306ccb726f8f647ab244e01957b02145104d37a6181148ce5f5c3e692f4","0x21c86306ccb726f8f647ab244e01957b02145104d37a6181148ce5f5c3e692f4-10","Axelar Network (GMP)","https://api.axelarscan.io (public GMP Explorer API)"
